DQ	41,30728	1,36259	287
VY	41,25095	1,29863	240
D4	42,27065	3,18165	24
D6	42,43515	3,16622	196
J5	42,34215	2,83423	158
U1	42,30648	2,95481	31
U2	42,17716	3,0968	4
VZ	42,38443	3,00736	83
W1	42,24726	3,09021	2
XZ	42,18139	3,06202	7
Y5	42,22793	2,86295	152
DI	41,43292	1,62386	415
U3	41,37491	1,63032	257
WP	41,48518	1,69337	325
W4	41,36619	1,72857	240
YO	41,43531	1,79324	155
CD	42,37083	1,43277	849
CJ	42,21624	1,33132	566
W5	42,07683	1,31489	490
Y4	42,17426	1,42775	1162
CT	42,39811	0,74362	823
Z2	42,46602	0,88405	2535
CE	41,53109	1,80813	316
H1	41,58642	1,65306	333
XA	41,60257	1,4007	785
XB	41,4779	1,53529	584
YH	41,71734	1,42403	747
CL	41,67399	1,76796	349
MQ	41,92047	1,69584	402
U4	41,83094	1,84699	507
WN	41,59539	1,83751	916
WW	41,79423	1,9368	278
U6	41,08017	1,06661	29
XR	41,31481	0,98161	926
YF	41,02066	0,9345	43
YL	41,1227	0,96951	170
DB	40,87287	0,71581	179
UA	40,9091	0,76943	93
U7	40,85936	0,50525	52
U9	40,76947	0,61635	62
X5	40,79705	0,31822	1055
DF	41,97751	3,03543	29
DO	41,80857	3,03241	14
UB	42,05398	3,06195	15
UE	42,02306	3,15719	4
YP	41,90708	3,16034	36
D3	41,38197	1,93564	252
UF	41,28832	1,90775	573
UG	41,29928	2,03787	3
XL	41,34045	2,08022	8
YQ	41,31926	2,137	7
Y7	41,31725	2,16537	3
D9	41,21553	1,52121	59
UH	41,34171	1,48769	545
WO	41,27151	1,46717	185
WZ	41,20187	1,63346	17
D5	41,41864	2,12379	411
WU	41,45215	2,24757	42
X2	41,38943	2,18847	7
X4	41,3839	2,16775	33
X8	41,37919	2,1054	79
CR	42,08032	1,9624	873
MS	42,25978	1,97747	938
U1	42,26477	1,76218	1386
WM	42,10736	1,8267	1167
WV	42,23414	1,87485	788
DP	42,38605	1,8664	1097
YA	42,44013	1,93482	1213
ZD	42,32211	1,89716	2478
Z3	42,46605	1,7785	2230
Z9	42,29265	1,71498	2143
